Function,x,y,True/False
Sine,33.2003,0.332933,1
Sine,-33.1001,-1.16635,1
Sine,35.3854,-0.711413,1
Sine,20.3361,0.938742,1
Sine,-31.2599,0.245792,1
Sine,0.668317,0.350596,1
Sine,-37.286,0.383305,1
Sine,31.047,-0.729221,1
Sine,-5.61638,0.505047,1
Sine,-38.5067,-0.436845,1
Sine,15.419,0.359643,1
Sine,18.7486,0.217763,1
Sine,-39.6859,-1.2366,1
Sine,32.1216,0.502857,1
Sine,-25.7934,-0.41949,1
Sine,36.2638,-1.0567,1
Sine,-2.56061,-0.583271,1
Sine,25.1028,-0.251466,1
Sine,33.6326,0.776328,1
Sine,45.923,1.07896,1
Sine,32.9903,0.748031,1
Sine,-20.6935,-0.663893,1
Sine,36.3437,-1.18903,1
arctan,-3.48655,-0.81656,0
arctan,-26.895,-1.79964,0
arctan,34.4735,1.15162,0
arctan,-42.3201,-1.49532,0
arctan,39.0519,1.78893,0
arctan,36.7693,1.44853,0
arctan,-16.1146,-1.80819,0
arctan,34.0488,1.80049,0
arctan,16.0064,2.23017,0
arctan,0.17734,0.126109,0
arctan,-21.688,-1.14419,0
arctan,48.0303,1.09382,0
arctan,16.9418,1.9249,0
arctan,16.3357,1.32528,0
arctan,31.4552,1.27662,0
arctan,40.0988,1.59648,0
arctan,-49.8979,-1.10351,0
arctan,28.0411,1.89133,0
arctan,9.23512,1.27175,0
arctan,22.0834,1.4087,0
arctan,39.7369,1.73862,0
arctan,-47.6213,-1.85323,0
arctan,21.8705,1.84669,0
arctan,35.2564,1.26717,0
arctan,6.12312,1.55531,0
arctan,46.9723,1.3397,0
arctan,9.68098,1.52718,0
arctan,-32.2453,-1.5377,0
arctan,-23.6882,-1.42569,0
arctan,-19.1219,-1.83057,0
arctan,-45.4001,-2.07121,0
arctan,-34.5425,-0.819711,0
arctan,-26.7307,-1.48225,0
arctan,-38.9375,-2.05571,0
arctan,0.961495,0.827915,0
arctan,-13.5616,-1.88451,0
arctan,-3.47605,-1.63355,0
arctan,12.3479,1.54903,0
arctan,36.3923,1.54406,0
arctan,-1.22806,-0.713059,0
arctan,30.1481,1.3413,0
arctan,45.557,1.75844,0
arctan,38.2448,1.68661,0
arctan,30.3325,1.35834,0
arctan,37.2569,1.30755,0
arctan,-47.7375,-1.67264,0
arctan,-30.4244,-1.38098,0
arctan,-17.1223,-0.92633,0
arctan,-1.70147,-1.09629,0
arctan,37.2418,1.49503,0
arctan,-11.6702,-1.25037,0
arctan,-28.1492,-2.13645,0
arctan,20.7338,1.82018,0
arctan,-9.40305,-1.5286,0
arctan,-9.74768,-1.87274,0
arctan,-33.7044,-1.90054,0
arctan,-49.3083,-1.45406,0
arctan,-39.358,-1.29209,0
arctan,-49.2237,-1.43478,0
arctan,-29.3637,-1.71816,0
arctan,-17.3434,-1.35363,0
arctan,33.1196,1.42901,0
arctan,2.93861,0.853773,0
arctan,-44.4462,-1.50267,0
arctan,-29.2633,-1.1398,0
arctan,36.1279,1.28638,0
arctan,16.2294,1.92848,0
arctan,41.6125,1.42428,0
arctan,-4.27557,-0.847225,0
arctan,14.9465,1.66289,0
arctan,14.4442,1.36158,0
arctan,-34.5177,-1.64903,0
arctan,47.3282,1.40236,0
arctan,25.3702,1.57896,0
arctan,-28.9828,-1.79973,0
arctan,8.6466,1.60697,0
arctan,-13.6493,-1.54886,0
arctan,-43.9646,-1.46914,0
arctan,49.5632,1.21917,0
arctan,-30.8148,-1.2795,0
arctan,39.1937,1.59595,0
arctan,-44.1331,-1.30324,0
arctan,-11.3309,-2.13695,0
arctan,11.4768,1.073,0
arctan,-25.9643,-1.29347,0
arctan,27.2242,1.40991,0
arctan,28.1242,1.50223,0
arctan,31.8949,1.95076,0
arctan,16.3614,1.44557,0
arctan,-27.1898,-1.79507,0
arctan,-48.7154,-1.19962,0
arctan,-46.7965,-1.55481,0
arctan,11.5956,1.1527,0
arctan,15.5247,1.3178,0
arctan,4.94177,1.93846,0
arctan,31.2537,1.29914,0
arctan,23.7244,1.5045,0
arctan,-34.6681,-1.06577,0
arctan,-33.0311,-1.06603,0
arctan,22.953,1.69861,0
arctan,49.3649,1.49533,0
arctan,33.768,1.35783,0
arctan,-33.3341,-1.88025,0
arctan,-32.8416,-2.01194,0
arctan,20.564,1.32435,0
arctan,12.9887,1.51117,0
arctan,-35.8999,-1.18396,0
arctan,-22.4576,-1.37768,0
arctan,-40.6168,-1.27264,0
arctan,44.9591,1.65314,0
arctan,47.5264,1.35629,0
arctan,39.3768,1.48941,0
arctan,-14.046,-2.02007,0
arctan,-36.0471,-1.7383,0
arctan,6.24895,1.82967,0
arctan,47.1791,1.6308,0
arctan,-48.1541,-1.48221,0
arctan,-33.9461,-0.768618,0
arctan,41.8294,1.94657,0
arctan,-27.9441,-1.58259,0
arctan,20.4397,1.40407,0
arctan,-38.7058,-1.09997,0
arctan,22.2272,1.73936,0
arctan,32.3348,1.58639,0
arctan,46.3039,2.06646,0
arctan,-32.6767,-1.66425,0
arctan,0.411178,0.0555155,0
arctan,46.6591,1.06978,0
arctan,48.6249,1.69493,0
arctan,-29.4016,-1.16859,0
arctan,1.33747,1.33014,0
arctan,26.0546,1.63303,0
arctan,27.9138,1.78146,0
arctan,24.9014,2.03853,0
arctan,-26.1921,-2.04219,0
arctan,13.1934,1.02541,0
arctan,-16.4706,-1.88936,0
arctan,39.527,1.54832,0
arctan,-39.185,-1.26121,0
arctan,34.8403,1.89738,0
arctan,-18.1232,-1.71542,0
arctan,-22.0649,-1.25808,0
arctan,2.90614,1.45847,0
arctan,4.18347,1.58373,0
arctan,-37.2979,-0.981663,0
arctan,27.0759,1.56123,0
arctan,10.515,1.26418,0
arctan,-4.54302,-1.74376,0
arctan,-8.67988,-1.01639,0
arctan,35.3817,1.41277,0
arctan,-2.34828,-0.931831,0
arctan,-35.3297,-1.62536,0
arctan,-42.8007,-1.38738,0
arctan,-10.226,-1.07921,0
arctan,-27.3472,-1.88073,0
arctan,-12.8319,-1.46719,0
arctan,25.0302,1.49258,0
arctan,-48.1409,-1.56991,0
arctan,25.8334,1.33126,0
arctan,-1.7256,-0.840514,0
arctan,-38.3478,-1.57143,0
arctan,-17.7838,-2.27839,0
arctan,-25.0766,-1.51967,0
arctan,12.9591,1.16716,0
arctan,10.9981,1.59759,0
arctan,31.4415,1.63741,0
arctan,1.81113,0.929792,0
arctan,-3.51308,-1.46333,0
arctan,33.8205,1.62292,0
arctan,-12.9876,-1.67621,0
arctan,12.3058,1.46368,0
arctan,-18.5571,-1.39548,0
arctan,48.8717,1.81695,0
arctan,46.9458,1.37825,0
arctan,48.555,1.29977,0
arctan,26.4138,1.58498,0
arctan,-13.7327,-1.88432,0
arctan,-18.1683,-1.07919,0
arctan,-0.500875,0.144197,0
arctan,33.8954,1.85817,0
arctan,-1.82781,-0.734743,0
arctan,-6.57225,-1.77292,0
arctan,-13.2824,-1.22653,0
arctan,-8.28009,-1.52829,0
arctan,-42.268,-1.1585,0
arctan,43.1868,1.80904,0
arctan,-48.1718,-1.73779,0
arctan,-3.56223,-1.78666,0
arctan,9.4808,1.49501,0
arctan,16.6957,1.61517,0
arctan,-21.4326,-1.61712,0
arctan,-0.791662,-0.274256,0
arctan,-36.328,-2.02021,0
arctan,-6.498,-1.48488,0
arctan,24.5501,1.88402,0
arctan,-48.9862,-1.65708,0
arctan,30.3267,1.41233,0
arctan,11.9026,2.07941,0
arctan,40.9826,0.831741,0
arctan,-48.5674,-1.9429,0
arctan,-45.1546,-1.67487,0
arctan,18.9548,1.18682,0
arctan,8.78965,1.39703,0
arctan,30.1388,1.64429,0
arctan,-9.49628,-1.81739,0
arctan,-21.6941,-0.919862,0
arctan,16.0643,1.55192,0
arctan,-46.2137,-1.47434,0
arctan,-17.9118,-1.92111,0
arctan,4.34904,1.26183,0
arctan,49.6764,1.8477,0
arctan,19.2964,1.67195,0
arctan,12.7581,1.41101,0
arctan,-35.7567,-1.06629,0
arctan,-9.28754,-1.32592,0
arctan,10.8597,1.29943,0
arctan,34.9055,1.45852,0
arctan,-31.402,-1.10252,0
arctan,8.31023,1.49138,0
arctan,23.8318,1.81267,0
arctan,-20.1387,-1.73354,0
arctan,-39.67,-1.74713,0
arctan,25.749,1.25971,0
arctan,12.3107,1.81016,0
arctan,-9.45424,-1.57185,0
arctan,-6.60057,-1.26508,0
arctan,-23.5944,-1.51964,0
arctan,-45.9618,-1.21751,0
arctan,-1.46635,-0.913837,0
arctan,-19.7033,-1.38577,0
arctan,15.9576,1.36485,0
arctan,-9.29111,-1.30764,0
arctan,41.0803,1.91572,0
arctan,36.3183,1.90651,0
arctan,25.7734,1.90603,0
arctan,-41.4893,-1.81953,0
arctan,-3.18469,-1.1226,0
arctan,4.83212,1.17798,0
arctan,-16.5282,-2.0637,0
arctan,35.6627,1.8548,0
arctan,44.9199,1.64482,0
arctan,-34.3604,-1.99369,0
arctan,44.6248,2.03639,0
arctan,40.4464,1.35601,0
arctan,14.0048,1.54848,0
arctan,-35.5369,-1.59129,0
arctan,-21.7183,-1.01063,0
arctan,-34.569,-1.52614,0
arctan,31.6702,1.56987,0
arctan,26.7256,1.48849,0
arctan,-25.2882,-1.60718,0
arctan,45.9458,1.6445,0
arctan,3.05526,1.489,0
arctan,15.8256,1.30366,0
arctan,-11.0928,-1.2333,0
arctan,-35.8137,-1.9704,0
arctan,33.3746,1.53267,0
arctan,-48.801,-1.59921,0
arctan,18.9983,1.09128,0
arctan,-20.6794,-1.44669,0
arctan,9.05971,1.24985,0
arctan,27.9206,1.50704,0
arctan,-9.08729,-1.22562,0
arctan,34.8103,0.685391,0
arctan,-17.1639,-1.66339,0
arctan,19.3664,1.4254,0
arctan,0.0840753,0.301575,0
arctan,25.7969,1.45974,0
arctan,-20.7815,-1.69147,0
arctan,-16.9295,-1.67166,0
arctan,40.886,1.6226,0
arctan,47.2746,1.74694,0
arctan,-46.1637,-1.68156,0
arctan,32.7626,1.81764,0
arctan,15.6799,2.05914,0
arctan,-21.1497,-0.791307,0
arctan,-19.8863,-1.03272,0
arctan,-40.5608,-1.02898,0
arctan,-32.1599,-1.54824,0
arctan,-13.3971,-2.0008,0
arctan,17.1089,1.65734,0
arctan,26.1623,1.27197,0
arctan,37.464,1.66254,0
arctan,-14.4124,-1.63749,0
arctan,-16.5881,-2.03324,0
arctan,36.152,1.72242,0
arctan,36.9381,1.46899,0
arctan,-41.9368,-1.39796,0
arctan,-44.247,-1.4354,0
arctan,48.4216,1.78508,0
arctan,22.8341,1.66711,0
arctan,-42.9214,-1.46116,0
arctan,5.06593,1.32336,0
arctan,43.9909,1.74992,0
arctan,-23.393,-1.43575,0
arctan,-1.79409,-1.35599,0
arctan,-11.2942,-1.76966,0
arctan,-0.344964,-0.0686329,0
arctan,-19.4591,-1.41375,0
arctan,-7.64755,-0.845848,0
arctan,18.0445,1.67609,0
arctan,38.7298,1.68397,0
arctan,17.5236,1.42017,0
arctan,44.1656,2.15462,0
arctan,26.8508,1.35728,0
arctan,17.7789,1.86888,0
arctan,-28.716,-1.68732,0
arctan,-21.7355,-1.56497,0
arctan,1.97366,1.20851,0
arctan,8.67005,1.57157,0
arctan,40.3122,1.23533,0
arctan,-16.5892,-1.21142,0
arctan,30.2446,1.80287,0
arctan,4.568,1.36041,0
arctan,32.8745,1.77602,0
arctan,-45.1629,-1.39069,0
arctan,-43.4773,-1.85588,0
arctan,4.43695,0.993454,0
arctan,-36.6668,-1.21666,0
arctan,42.9536,1.20524,0
arctan,39.6992,1.0934,0
arctan,-49.0743,-1.44002,0
arctan,-23.4953,-1.75813,0
arctan,26.1536,1.59967,0
arctan,4.1235,1.29712,0
arctan,-14.2289,-1.4551,0
arctan,-38.66,-0.967019,0
arctan,-23.2771,-1.34475,0
arctan,-10.7959,-1.32855,0
arctan,-20.868,-1.49211,0
arctan,30.1466,1.16466,0
arctan,7.86321,1.70145,0
arctan,-43.2464,-1.69546,0
arctan,0.750585,0.0390034,0
arctan,-34.7987,-1.46393,0
arctan,20.4356,1.9614,0
arctan,-2.65512,-1.14185,0
arctan,-13.2894,-1.31367,0
arctan,-18.3033,-1.61676,0
arctan,28.3818,1.78191,0
arctan,24.0847,1.3117,0
arctan,1.88901,0.946791,0
arctan,-17.137,-1.88897,0
arctan,-34.1338,-1.80188,0
arctan,-18.1018,-1.51588,0
arctan,5.6728,1.23705,0
arctan,29.4093,1.54575,0
arctan,30.5688,1.32436,0
arctan,33.7747,1.16922,0
arctan,-26.1872,-1.07426,0
arctan,26.7018,1.18706,0
arctan,26.2351,1.29735,0
arctan,-7.43731,-1.53103,0
arctan,13.4463,2.11258,0
arctan,-10.8544,-1.73353,0
arctan,-32.6161,-1.32158,0
arctan,-32.4693,-1.42261,0
arctan,-20.7338,-1.42077,0
arctan,-39.0056,-1.14838,0
arctan,48.842,1.66506,0
arctan,-43.9115,-2.22475,0
arctan,-49.4631,-1.85772,0
arctan,35.1875,1.62344,0
arctan,47.4206,1.63788,0
arctan,41.0148,1.33099,0
arctan,17.9952,2.12682,0
arctan,2.17341,1.10418,0
arctan,27.8766,1.45682,0
arctan,-22.4566,-1.37341,0
arctan,-3.15967,-1.23806,0
arctan,15.3546,1.91527,0
arctan,25.7515,1.37682,0
arctan,37.9137,1.32971,0
arctan,-17.9829,-1.66528,0
arctan,30.3348,1.68602,0
arctan,30.3609,1.64283,0
arctan,-28.3013,-1.87265,0
arctan,-32.6376,-2.08311,0
arctan,8.17212,1.3453,0
arctan,-8.30635,-1.45794,0
arctan,-36.8164,-1.47499,0
arctan,-36.5339,-1.39699,0
arctan,-42.537,-1.57474,0
arctan,-16.1525,-1.12323,0
arctan,3.60203,1.16166,0
arctan,-7.99438,-1.79398,0
arctan,-39.8843,-1.97857,0
arctan,26.7617,1.73667,0
arctan,-10.7928,-2.10298,0
arctan,-6.21162,-1.45701,0
arctan,39.3689,1.76679,0
arctan,-5.67597,-1.11816,0
arctan,-14.492,-1.54142,0
arctan,24.6624,1.41477,0
arctan,-44.4535,-1.40646,0
arctan,36.8552,1.30231,0
arctan,47.8709,1.48488,0
arctan,-3.70049,-0.863901,0
arctan,27.1778,2.24301,0
arctan,2.86503,1.07001,0
arctan,-38.0901,-1.66462,0
arctan,29.3482,1.86906,0
arctan,-40.4706,-1.62417,0
arctan,36.7538,1.55355,0
arctan,-19.651,-1.24084,0
arctan,37.7612,1.41734,0
arctan,-43.1645,-1.47963,0
arctan,25.3786,1.15238,0
arctan,34.1168,1.10134,0
arctan,-38.6582,-1.79157,0
arctan,24.1763,1.45267,0
arctan,-19.322,-1.50796,0
arctan,-29.9162,-1.75225,0
arctan,9.86542,1.22312,0
arctan,27.1144,1.50743,0
arctan,2.9364,1.50054,0
arctan,5.71962,1.99016,0
arctan,-37.9328,-1.43951,0
arctan,-44.9165,-1.42417,0
arctan,47.0987,1.6884,0
arctan,12.6094,2.15963,0
arctan,10.6708,1.15546,0
arctan,-8.91547,-1.33872,0
arctan,-3.99726,-0.704749,0
arctan,-14.5765,-1.90068,0
arctan,-18.5558,-1.24413,0
arctan,-37.5595,-2.14828,0
arctan,-11.2078,-1.08691,0
arctan,38.5977,1.81407,0
arctan,46.8647,1.31022,0
arctan,-4.48084,-1.05953,0
arctan,7.9043,1.36543,0
arctan,-29.0157,-1.72051,0
arctan,-5.97102,-1.78187,0
arctan,32.2026,1.39362,0
arctan,-15.509,-1.4218,0
arctan,-14.0489,-1.48451,0
arctan,-1.14793,-1.30762,0
arctan,9.00241,1.32261,0
arctan,-41.69,-1.5765,0
arctan,41.2126,1.26306,0
arctan,20.7162,1.78402,0
arctan,-14.1206,-1.69323,0
arctan,36.8353,1.86144,0
arctan,6.74692,1.58729,0
arctan,-27.0792,-1.75268,0
arctan,-28.4958,-2.14216,0
arctan,-5.34084,-1.35684,0
arctan,48.5086,1.23352,0
arctan,19.2651,1.52335,0
arctan,-32.9575,-1.60943,0
arctan,-38.251,-1.33661,0
arctan,39.367,1.87276,0
arctan,6.48446,0.989987,0
arctan,28.552,1.70226,0
arctan,-11.5311,-1.6048,0
arctan,-2.01813,-0.982341,0
arctan,-22.9608,-1.73276,0
arctan,-12.4545,-1.34199,0
arctan,13.3486,1.53043,0
arctan,-37.8374,-1.46451,0
arctan,-19.4674,-1.4919,0
arctan,-42.9402,-1.53502,0
arctan,-12.4757,-1.95812,0
arctan,26.8929,1.47298,0
arctan,-22.3232,-1.58174,0
arctan,-33.588,-1.76959,0
arctan,-17.5523,-0.866086,0
arctan,3.39897,1.45197,0
arctan,-42.1955,-1.79568,0
arctan,0.421357,0.646198,0
arctan,-0.591417,-0.568756,0
arctan,8.13358,1.83371,0
arctan,39.2053,1.61447,0
arctan,-13.7077,-1.59008,0
arctan,-1.13344,-0.471651,0
arctan,-11.0797,-1.74218,0
arctan,-9.40967,-1.64468,0
arctan,14.2109,1.486,0
arctan,41.7377,1.71409,0
arctan,34.6225,1.83918,0
arctan,20.1121,1.19211,0
arctan,-20.0214,-1.26772,0
arctan,-39.0298,-1.66794,0
arctan,-15.0591,-0.883514,0
arctan,-10.6496,-1.51803,0
arctan,11.2788,1.38995,0
arctan,-32.3257,-0.895672,0
arctan,36.3011,1.51432,0
arctan,-0.955161,-0.572032,0
arctan,-8.45718,-1.75897,0
arctan,-2.52619,-0.559919,0
arctan,-25.3692,-1.26641,0
arctan,16.4228,2.0334,0
arctan,-25.3459,-1.71401,0
arctan,-28.6872,-1.67245,0
arctan,48.8995,1.74454,0
arctan,43.4772,1.45114,0
arctan,-11.0386,-1.8356,0
arctan,22.5483,1.95948,0
Sinc,-37.9712,-0.00496487,0
Sinc,-30.9311,-0.0375297,0
Sinc,-14.9005,0.0753911,0
Sinc,-32.4109,-0.161268,0
Sinc,-40.1659,0.0707202,0
Sinc,13.2558,-0.0155713,0
Sinc,-0.509927,0.819731,0
Sinc,19.5251,0.503708,0
Sinc,17.0348,0.352798,0
Sinc,-17.78,-0.675244,0
Sinc,29.2567,0.0948091,0
Sinc,-21.2071,-0.125075,0
Sinc,15.4808,0.200573,0
Sinc,-10.2073,-0.203752,0
Sinc,11.7585,-0.111393,0
Sinc,-18.2436,0.0352091,0
Sinc,-43.8622,-0.249486,0
Sinc,-33.6296,-0.12474,0
Sinc,-44.3277,0.384221,0
Sinc,-32.0491,0.575316,0
Sinc,42.2661,0.369452,0
Sinc,-35.4754,0.0402457,0
Sinc,42.2913,-0.200847,0
Sinc,33.1817,-0.0283126,0
Sinc,47.4951,-0.0795103,0
Sinc,-34.9833,0.143095,0
Sinc,34.7717,0.345525,0
Sinc,-35.1446,-0.306699,0
Sinc,-42.313,-0.213801,0
Sinc,1.53626,0.480994,0
Sinc,-1.17519,0.895599,0
Sinc,-16.1866,-0.201391,0
Sinc,40.018,-0.584933,0
Sinc,-40.5489,-0.137152,0
Sinc,2.03741,0.329244,0
Sinc,-3.85164,-0.629071,0
Sinc,-14.9974,-0.39489,0
Sinc,14.4021,0.0171139,0
Sinc,7.86454,-0.232242,0
Sinc,0.097382,0.932631,0
Sinc,-13.925,0.132287,0
Sinc,-3.70724,-0.0224266,0
Sinc,19.2263,0.359856,0
Sinc,-7.04155,0.352663,0
Sinc,0.479878,1.08852,0
Sinc,14.5067,-0.501073,0
Sinc,37.6721,0.225784,0
Sinc,-9.0523,0.13554,0
Sinc,-25.8255,-0.0340831,0
Sinc,-4.8013,0.0972098,0
Sinc,-8.6522,0.241447,0
Sinc,4.70953,-0.425197,0
Sinc,3.56281,-0.0230292,0
Sinc,-39.5404,0.700118,0
Sinc,-9.29022,0.134045,0
Sinc,28.2383,0.0130775,0
Sinc,-13.1052,0.392614,0
Sinc,49.831,-0.445783,0
Sinc,32.5476,0.0492042,0
Sinc,25.3372,0.393182,0
Sinc,10.1595,0.388755,0
Sinc,-46.3782,0.513032,0
Sinc,5.14111,0.119532,0
Sinc,-25.7288,-0.41335,0
Sinc,35.3174,-0.365613,0
Sinc,-27.7112,0.576174,0
Sinc,8.94561,-0.0297628,0
Sinc,-48.1416,0.611911,0
Sinc,-21.8619,0.0846257,0
Sinc,6.04897,-0.529727,0
Sinc,12.1693,-0.427194,0
Sinc,43.1052,0.102951,0
Sinc,-35.2797,-0.159194,0
Sinc,12.1603,0.0222781,0
Sinc,12.7114,0.0776285,0
Sinc,31.6786,-0.29169,0
Sinc,41.5942,0.128142,0
Sinc,28.7196,-0.251065,0
Sinc,-36.1327,0.45278,0
Sinc,-39.8037,0.188608,0
Sinc,41.2965,0.112547,0
Sinc,-42.063,0.452659,0
Sinc,16.2677,-0.171343,0
Sinc,30.205,0.227659,0
Sinc,36.4879,-0.324585,0
Sinc,4.55923,-0.331354,0
Sinc,-2.58434,0.279042,0
Sinc,-12.4177,-0.0689753,0
Sinc,28.5766,0.370415,0
Sinc,-2.77484,-0.319235,0
Sinc,-41.8199,-0.225509,0
Sinc,-41.8201,-0.14053,0
Sinc,33.6853,-0.484562,0
Sinc,20.8114,-0.126164,0
Sinc,-13.8463,-0.179477,0
Sinc,29.5964,-0.458973,0
Sinc,-9.5793,0.446151,0
Sinc,-10.0469,0.384612,0
Sinc,-26.5127,0.294673,0
Sinc,15.1668,-0.323238,0
Sinc,-9.97373,0.0733667,0
Sinc,9.48399,0.00169462,0
Sinc,39.9208,0.477355,0
Sinc,-48.5126,0.0527082,0
Sinc,-23.6558,-0.00217767,0
Sinc,36.4887,-0.483375,0
Sinc,-33.5492,0.521494,0
Sinc,25.1337,-0.0544142,0
Sinc,-34.3067,0.289315,0
Sinc,43.4,-0.120808,0
Sinc,-29.4242,-0.174588,0
Sinc,40.7942,0.207632,0
Sinc,32.7615,-0.353404,0
Sinc,19.9507,-0.0861753,0
Sinc,-12.3341,0.0858216,0
Sinc,-12.1596,-0.496554,0
Sinc,6.73189,0.0317102,0
Sinc,49.5098,-0.247478,0
Sinc,26.0294,-0.207604,0
Sinc,46.4189,0.426724,0
Sinc,42.4714,-0.301362,0
Sinc,39.1604,0.157245,0
Sinc,-33.9982,0.158759,0
Sinc,12.8423,-0.422697,0
Sinc,44.373,-0.213651,0
Sinc,-46.6255,0.0518053,0
Sinc,47.5749,-0.383804,0
Sinc,12.8926,0.0724459,0
Sinc,13.2907,0.323936,0
Sinc,13.4098,-0.162983,0
Sinc,18.3203,-0.272259,0
Sinc,-41.7033,-0.0389222,0
Sinc,13.5919,0.476034,0
Sinc,-37.9231,0.0477696,0
Sinc,7.07221,0.25724,0
Sinc,-15.9966,-0.189148,0
Sinc,-21.961,-0.0603324,0
Sinc,29.9847,0.0311106,0
Sinc,-11.3759,0.227388,0
Sinc,2.22357,0.536916,0
Sinc,-23.2916,-0.797889,0
Sinc,-4.0124,0.169158,0
Sinc,46.0959,-0.251758,0
Sinc,44.8841,-0.257351,0
Sinc,-16.4895,-0.0641369,0
Sinc,12.7829,-0.414882,0
Sinc,24.2347,-0.00503455,0
Sinc,25.3065,0.00134364,0
Sinc,20.9673,-0.118803,0
Sinc,13.7041,-0.0162615,0
Sinc,-31.9168,0.0293725,0
Sinc,-11.1224,0.124976,0
Sinc,47.9454,-0.0603629,0
Sinc,-44.5896,-0.138232,0
Sinc,38.7645,0.00967681,0
Sinc,0.588303,0.926636,0
Sinc,42.7942,-0.283777,0
Sinc,-40.8586,-0.104744,0
Sinc,-47.4258,-0.458928,0
Sinc,-19.5376,-0.210419,0
Sinc,-37.1204,-0.0802552,0
Sinc,43.325,0.352866,0
Sinc,-49.4575,-0.0686068,0
Sinc,-10.6344,-0.25692,0
Sinc,-36.0405,-0.489887,0
Sinc,-38.9825,-0.376496,0
Sinc,47.0351,-0.201643,0
Sinc,29.115,0.761763,0
Sinc,41.8459,-0.0857598,0
Sinc,-18.4277,-0.323904,0
Sinc,31.7531,0.37516,0
Sinc,-42.8149,0.41227,0
Sinc,11.5568,-0.33643,0
Sinc,2.35925,0.608856,0
Sinc,3.36338,-0.510928,0
Sinc,48.3221,-0.133083,0
Sinc,-38.4445,-0.243912,0
Sinc,-0.332119,1.07957,0
Sinc,45.2641,0.365358,0
Sinc,47.7933,0.339396,0
Sinc,-27.0744,-0.207953,0
Sinc,37.134,-0.0249628,0
Sinc,21.6671,-0.307598,0
Sinc,41.964,0.10734,0
Sinc,40.5734,0.0761139,0
Sinc,42.0037,-0.0859407,0
Sinc,19.399,-0.0724464,0
Sinc,-15.5479,0.392781,0
Sinc,-13.9634,0.416046,0
Sinc,45.7429,-0.191661,0
Sinc,24.7642,-0.369227,0
Sinc,38.7625,0.342228,0
Sinc,26.8296,0.132724,0
Sinc,-44.227,0.254297,0
Sinc,4.75317,-0.213213,0
Sinc,-23.0958,0.936099,0
Sinc,-40.1757,-0.194634,0
Sinc,9.38417,0.172216,0
Sinc,-19.7575,0.15386,0
Sinc,45.5108,-0.0552508,0
Sinc,-20.254,-0.146538,0
Sinc,-3.23015,-0.205532,0
Sinc,-31.6163,-0.0830876,0
Sinc,25.3122,0.102741,0
Sinc,-19.2189,-0.151457,0
Sinc,20.8093,0.217357,0
Sinc,0.358178,1.18519,0
Sinc,48.2639,-0.163543,0
Sinc,13.3154,0.108044,0
Sinc,42.2531,0.281489,0
